content_id,title,author_name,location_name,content_date,file_name,series,book,content_type,active_ind
174,Announcing Arrival of Christ,Don Elwell,Clackamas,12/10/2017,p2017-12-10am.mp3,,,Message,Y
175,Value of Tragedy,Don Elwell,Clackamas,12/31/2017,p2017-12-31am.mp3,,,Message,Y
176,The Power Within You,Curtis Williams,Clackamas,11/10/2017,Exceeding Abundantly Above.mp3,,,Message,Y
178,Seeing the Glory of God,Huyen Hoang,Clackamas,1/7/2018,p2018-01-07am.mp3,,,Message,Y
179,Joy in Service,Don Elwell,Clackamas,1/7/2018,p2018-01-07pm.mp3,,,Message,Y
180,Bear Another's Burdens,Don Elwell,Clackamas,1/14/2018,p2018-01-14am.mp3,,,Message,Y
181,The Prudent Man,Don Elwell,Clackamas,1/21/2018,p2018-01-21am.mp3,,,Message,Y
182,Urgings of the Apostles,Huyen Hoang,Clackamas,1/21/2018,p2018-01-21pm.mp3,,,Message,Y
183,Walking with God,Huyen Hoang,Clackamas,1/28/2018,p2018-01-28am.mp3,,,Message,Y
184,One Bite at a Time,Don Elwell,Clackamas,2/4/2018,p2018-02-04am.mp3,,,Message,Y
185,Source of True Progress,Huyen Hoang,Clackamas,2/4/2018,p2018-02-04pm.mp3,,,Message,Y
186,Thinking Errors,Don Elwell,Clackamas,2/18/2018,p2018-02-18am.mp3,,,Message,Y
187,Spiritually Stubborn,Don Elwell,Clackamas,2/18/2018,p2018-02-18pm.mp3,,,Message,Y
188,He Cares,Don Elwell,Clackamas,2/25/2018,p2018-02-25am.mp3,,,Message,Y
189,The Work of God,Don Elwell,Clackamas,3/4/2018,p2018-03-04am.mp3,,,Message,Y
190,Kiss the Son,Huyen Hoang,Clackamas,3/4/2018,p2018-03-04pm.mp3,,,Message,Y
191,Playing to Win,Don Elwell,Clackamas,3/11/2018,p2018-03-11am.mp3,,,Message,Y
192,The Wisdom of God,Huyen Hoang,Clackamas,3/18/2018,p2018-03-18am.mp3,,,Message,Y
193,DIstractions,Don Elwell,Clackamas,3/18/2018,p2018-03-18pm.mp3,,,Message,Y
203,Real Freedom,Don Elwell,Clackamas,3/25/2018,p2018-03-25am.mp3,,,Message,Y
206,Decision Tree,Don Elwell,Clackamas,4/8/2018,p2018-04-08am.mp3,,,Message,Y
207,Impossible is Nothing,Don Elwell,Clackamas,4/15/2018,p2018-04-15am.mp3,,,Message,Y
208,Abide in the Love of God,Huyen Hoang,Clackamas,4/15/2018,p2018-04-15pm.mp3,,,Message,Y
214,Conscience Void of Offence,Don Elwell,Clackamas,4/29/2018,p2018-04-29am.mp3,,,Message,Y
220,The Lord Will Get You There,Don Elwell,Clackamas,5/6/2018,p2018-05-06am.mp3,,,Message,Y
221,Recharging,Don Elwell,Clackamas,5/13/2018,p2018-05-13am.mp3,,,Message,Y
225,"Sacrifice, Seek, Save",Don Elwell,Clackamas,5/20/2018,p2018-05-20am.mp3,,,Message,Y
227,Encourage Yourself in the Lord,Don Elwell,Clackamas,5/27/2018,p2018-05-27am.mp3,,,Message,Y
228,Friends and Witnesses,Huyen Hoang,Clackamas,6/10/2018,p2018-06-10am.mp3,,,Message,Y
236,Confidence in God,Don Elwell,Clackamas,6/3/2018,p2018-06-03am.mp3,,,Message,Y
247,The Father with Two Sons,Michael Smith,Clackamas,6/17/2018,p2018-06-17am.mp3,,,Message,Y
248,Peace in the Glorious Mundane,Don Elwell,Clackamas,7/1/2018,p2018-07-01am.mp3,,,Message,Y
249,A Call to Ministry,Huyen Hoang,Clackamas,8/5/2018,p2018-08-05pm.mp3,,,Message,Y
250,A Lively Hope,Don Elwell,Clackamas,7/8/2018,p2018-07-08am.mp3,,,Message,Y
251,Spiritual Warfare,Don Elwell,Clackamas,8/5/2018,p2018-08-05am.mp3,,,Message,Y
252,Children of Light,Huyen Hoang,Clackamas,8/12/2018,p2018-08-12am.mp3,,,Message,Y
254,Acknowledge Him,Don Elwell,Clackamas,9/2/2018,p2018-09-02am.mp3,,,Message,Y
255,Encounter Jesus Christ,Huyen Hoang,Clackamas,9/9/2018,p2018-09-09am.mp3,,,Message,Y
256,Stand in the Gap,Don Elwell,Clackamas,9/23/2018,p2018-09-23am.mp3,,,Message,Y
257,Chosen and Recruited,Don Elwell,Clackamas,9/30/2018,p2018-09-30am.mp3,,,Message,Y
258,Double Down on Jesus,Don Elwell,Clackamas,10/14/2018,p2018-10-14am.mp3,,,Message,Y
259,Examine Yourselves,Don Elwell,Clackamas,10/21/2018,p2018-10-21am.mp3,,,Message,Y
261,Decisive Obedience,Don Elwell,Gladstone,12/2/2018,p2018-12-02am.mp3,,,Message,Y
262,Go Slow to Go Fast,Don Elwell,Clackamas,11/11/2018,p2018-11-11am.mp3,,,Message,Y
264,Be Like the Eagle,Don Elwell,Clackamas,10/28/2018,p2018-10-28am.mp3,,,Message,Y
269,Fullness of Joy in the Light,Don Elwell,Gladstone,12/9/2018,p2018-12-09am.mp3,,,Message,Y
270,Good Tidings of Great Joy,Ken Elwell,Gladstone,12/23/2018,p2018-12-23am.mp3,,,Message,Y
271,The Word of God,Don Elwell,Gladstone,12/16/2018,p2018-12-16pm.mp3,,,Message,Y
272,From the Beginning,Huyen Hoang,Gladstone,12/16/2018,p2018-12-16am-huyen.mp3,,,Message,N
273,Fringe Benefits,Don Elwell,Gladstone,1/13/2019,p2019-01-13am.mp3,,,Message,Y
274,Satan's Long Game,Don Elwell,Gladstone,1/27/2019,p2019-01-27am.mp3,,,Message,Y
278,Called to Be Extraordinary,Don Elwell,Gladstone,1/20/2019,p2019-01-20am.mp3,,,Message,Y
279,A Sip of Near Beer,Don Elwell,Gladstone,2/10/2019,p2019-02-10am.mp3,,,Message,Y
280,Victory in Jesus,Donald Elwell III,Gladstone,2/17/2019,p2019-02-17pm.mp3,,,Message,Y
281,Cultivating Compassion,Don Elwell,Gladstone,2/17/2019,p2019-02-17am.mp3,,,Message,Y
288,Take Us the Little Foxes,Don Elwell,Gladstone,2/24/2019,p2019-02-24am.mp3,,,Message,Y
289,Seeking for Inspiration,Don Elwell,Gladstone,3/3/2019,p2019-03-03am.mp3,,,Message,Y
290,The Battle - Good vs. Evil,Don Elwell,Gladstone,3/17/2019,p2019-03-17am.mp3,,,Message,Y
291,Two Weapons,Don Elwell,Gladstone,3/17/2019,p2019-03-17pm.mp3,,,Message,Y
292,Witness Protection Program,Donald Elwell III,Gladstone,3/24/2019,p2019-03-24am.mp3,,,Message,Y
294,Weapons of Our Warfare,Don Elwell,Gladstone,3/31/2019,p2019-03-31am.mp3,,,Message,Y
295,Clear Vision,Ken Elwell,Gladstone,4/7/2019,p2019-04-07am.mp3,,,Message,Y
296,Tools for Battle,Don Elwell,Gladstone,4/7/2019,p2019-04-07pm.mp3,,,Message,Y
